time,ceiling_price,floor_price,reference_price,open_price,close_price,match_price,price_change,percent_price_change,highest_price,lowest_price,average_price,total_match_volume,total_match_value,total_deal_volume,total_deal_value,total_volume,total_value,foreign_net_trading_volume,foreign_net_trading_value,foreign_buy_value_matched,foreign_buy_volume_matched,foreign_sell_value_matched,foreign_sell_volume_matched,foreign_buy_value_deal,foreign_buy_volume_deal,foreign_sell_value_deal,foreign_sell_volume_deal,foreign_buy_value_total,foreign_buy_volume_total,foreign_sell_value_total,foreign_sell_volume_total,foreign_total_room,foreign_current_room,foreign_holding_volume,total_trade,total_buy_trade,total_buy_trade_volume,total_sell_trade,total_sell_trade_volume,reference_price_adjusted,open_price_adjusted,close_price_adjusted,price_change_adjusted,percent_price_change_adjusted,highest_price_adjusted,lowest_price_adjusted,unmatched_buy_trade_volume,unmatched_sell_trade_volume,dif_volume_buy_sell,average_volume_buy_order,average_volume_sell_order
2016-01-26,25100,21900,23500,23300,23000,23000,-500,-0.0212765957,23400,23000,23178.279097624276,100180,2322000000,0,0,100180,2322000000,500,11700000,11700000,500,0,0,0,0,0,0,11700000,500,0,0,69370357,507,69369850,,58.0,197190.0,66.0,251200.0,13048.0055124909,12936.9586570657,12770.3883739274,,,12992.4820847783,12770.3883739274,97010.0,151020.0,-54010.0,3399.8275862068967,3806.060606060606
2016-01-27,24600,21400,23000,23000,23600,23600,600,0.0260869565,23600,23000,23358.608123199905,170130,3974000000,0,0,170130,3974000000,-30000,-702000000,0,0,702000000,30000,0,0,0,0,0,0,702000000,30000,69370357,7,69370350,,102.0,512930.0,71.0,227000.0,12770.3883739276,12770.3883739274,13103.5289402039,,,13103.5289402039,12770.3883739276,342800.0,56870.0,285930.0,5028.725490196079,3197.1830985915494
2016-01-28,25200,22000,23600,23500,23700,23700,100,0.0042372881,24000,23500,23696.960017036683,187830,4451000000,0,0,187830,4451000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,125.0,399610.0,81.0,281360.0,13103.5289402036,13048.005512491,13159.0523679165,,,13325.6226510545,13048.0055124909,211780.0,93530.0,118250.0,3196.88,3473.58024691358
2016-01-29,25300,22100,23700,23600,23900,23900,200,0.0084388186,23900,23400,23580.814717477006,152200,3589000000,0,0,152200,3589000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,96.0,321310.0,65.0,290780.0,13159.0523679165,13103.5289402039,13270.0992233419,,,13270.0992233419,12992.4820847783,169110.0,138580.0,30530.0,3346.9791666666665,4473.538461538462
2016-02-01,25500,22300,23900,23700,23500,23500,-400,-0.0167364017,23900,23400,23631.653714381217,119670,2828000000,0,0,119670,2828000000,30000,713165000,713165000,30000,0,0,0,0,0,0,713165000,30000,0,0,69370357,30007,69340350,,73.0,208450.0,78.0,303050.0,13270.099223342,13159.0523679165,13048.005512491,,,13270.099223342,12992.4820847784,88780.0,183380.0,-94600.0,2855.4794520547944,3885.25641025641
2016-02-02,25100,21900,23500,23500,23600,23600,100,0.0042553191,23700,23400,23537.604456824512,100520,2366000000,0,0,100520,2366000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,78.0,298420.0,48.0,170660.0,13048.0055124912,13048.005512491,13103.5289402039,,,13159.0523679167,12992.4820847785,197900.0,70140.0,127760.0,3825.897435897436,3555.4166666666665
2016-02-03,25200,22000,23600,23500,23400,23400,-200,-0.0084745763,23500,23100,23224.028955756035,185110,4299000000,0,0,185110,4299000000,-154000,-3570539000,0,0,3570539000,154000,0,0,0,0,0,0,3570539000,154000,69370357,7,69370350,,72.0,283140.0,57.0,384300.0,13103.5289402037,13048.005512491,12992.4820847783,,,13048.0055124909,12825.91180164,98030.0,199190.0,-101160.0,3932.5,6742.105263157895
2016-02-04,25000,21800,23400,23300,23500,23500,100,0.0042735043,23500,23300,23414.634146341465,92250,2160000000,0,0,92250,2160000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,49.0,202980.0,36.0,193170.0,12992.4820847784,12936.9586570657,13048.005512491,,,13048.0055124911,12936.9586570657,110730.0,100920.0,9810.0,4142.448979591837,5365.833333333333
2016-02-05,25100,21900,23500,23500,23600,23600,100,0.0042553191,23600,23400,23526.944852170265,95380,2244000000,0,0,95380,2244000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,58.0,219110.0,41.0,185800.0,13048.0055124912,13048.005512491,13103.5289402039,,,13103.5289402039,12992.4820847785,123730.0,90420.0,33310.0,3777.7586206896553,4531.707317073171
2016-02-15,25200,22000,23600,23600,23700,23700,100,0.0042372881,23700,23300,23460.871002396496,121010,2839000000,0,0,121010,2839000000,9540,228499000,694499000,29540,466000000,20000,0,0,0,0,694499000,29540,466000000,20000,69370357,154007,69216350,,78.0,289650.0,42.0,220640.0,13103.5289402036,13103.5289402039,13159.0523679165,,,13159.0523679165,12936.9586570656,168640.0,99630.0,69010.0,3713.4615384615386,5253.333333333333
2016-02-16,25300,22100,23700,23600,23900,23900,200,0.0084388186,23900,23600,23758.954065020287,199630,4743000000,0,0,199630,4743000000,124460,2958392000,2958392000,124460,0,0,0,0,0,0,2958392000,124460,0,0,69370357,124467,69245890,,112.0,426940.0,75.0,311680.0,13159.0523679165,13103.5289402039,13270.0992233419,,,13270.0992233419,13103.5289402037,227310.0,112050.0,115260.0,3811.964285714286,4155.733333333334
2016-02-17,25500,22300,23900,23800,23900,23900,0,0.0,23900,23600,23767.870579382994,106320,2527000000,0,0,106320,2527000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,89.0,246290.0,48.0,280250.0,13270.0992233419,13214.5757956292,13270.0992233419,,,13270.0992233419,13103.5289402037,139970.0,173930.0,-33960.0,2767.303370786517,5838.541666666667
2016-02-18,25500,22300,23900,23900,23900,23900,0,0.0,24000,23600,23841.882820916548,120670,2877000000,0,0,120670,2877000000,-1710,-39345000,478000000,20000,517345000,21710,0,0,0,0,478000000,20000,517345000,21710,69370357,20007,69350350,,83.0,285120.0,86.0,243500.0,13270.0992233419,13270.0992233419,13270.0992233419,,,13325.6226510546,13103.5289402037,164450.0,122830.0,41620.0,3435.1807228915663,2831.3953488372094
2016-02-19,25500,22300,23900,23800,23500,23500,-400,-0.0167364017,23800,23500,23592.833359759,126140,2976000000,0,0,126140,2976000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,81.0,237940.0,61.0,268240.0,13270.099223342,13214.5757956292,13048.005512491,,,13214.5757956292,13048.0055124911,111800.0,142100.0,-30300.0,2937.5308641975307,4397.377049180328
2016-02-22,25100,21900,23500,23500,23400,23400,-100,-0.0042553191,23600,23400,23505.397176861334,144520,3397000000,0,0,144520,3397000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,70.0,282120.0,69.0,294530.0,13048.0055124909,13048.005512491,12992.4820847783,,,13103.5289402037,12992.4820847783,137600.0,150010.0,-12410.0,4030.285714285714,4268.550724637681
2016-02-23,25000,21800,23400,23500,23400,23400,0,0.0,23600,23300,23495.859156474526,182330,4284000000,0,0,182330,4284000000,21710,510185000,510185000,21710,0,0,0,0,0,0,510185000,21710,0,0,69370357,21717,69348640,,79.0,316440.0,69.0,356170.0,12992.4820847783,13048.005512491,12992.4820847783,,,13103.5289402037,12936.9586570656,134110.0,173840.0,-39730.0,4005.5696202531644,5161.884057971014
2016-02-24,25000,21800,23400,23400,23500,23500,100,0.0042735043,23500,23200,23370.07037578011,150620,3520000000,0,0,150620,3520000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,69.0,344440.0,80.0,307090.0,12992.4820847784,12992.4820847783,13048.005512491,,,13048.0055124911,12881.4352293529,193820.0,156470.0,37350.0,4991.884057971014,3838.625
2016-02-25,25100,21900,23500,23400,22900,22900,-600,-0.0255319149,23500,22900,23223.518095467116,166340,3863000000,0,0,166340,3863000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,78.0,278470.0,92.0,332540.0,13048.005512491,12992.4820847783,12714.8649462148,,,13048.005512491,12714.8649462148,112130.0,166200.0,-54070.0,3570.128205128205,3614.5652173913045
2016-02-26,24500,21300,22900,22900,23300,23300,400,0.0174672489,23300,22900,23069.0813144639,166760,3847000000,0,0,166760,3847000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,96.0,382280.0,74.0,296300.0,12714.8649462147,12714.8649462148,12936.9586570657,,,12936.9586570657,12714.8649462147,215520.0,129540.0,85980.0,3982.0833333333335,4004.054054054054
2016-02-29,24900,21700,23300,23300,23100,23100,-200,-0.008583691,23300,22800,23074.161820661928,139290,3214000000,0,0,139290,3214000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,83.0,254260.0,72.0,240510.0,12936.9586570656,12936.9586570657,12825.9118016401,,,12936.9586570656,12659.3415185019,114970.0,101220.0,13750.0,3063.373493975904,3340.4166666666665
2016-03-01,24700,21500,23100,23100,23400,23400,300,0.012987013,23500,22900,23228.454172366623,255850,5943000000,0,0,255850,5943000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,112.0,498980.0,94.0,338000.0,12825.91180164,12825.9118016401,12992.4820847783,,,13048.0055124909,12714.8649462147,243130.0,82150.0,160980.0,4455.178571428572,3595.744680851064
2016-03-02,25000,21800,23400,23400,24200,24200,800,0.0341880342,24200,23400,23804.04061551345,286590,6822000000,0,0,286590,6822000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,151.0,607050.0,137.0,431120.0,12992.4820847784,12992.4820847783,13436.6695064801,,,13436.6695064801,12992.4820847784,320460.0,144530.0,175930.0,4020.198675496689,3146.8613138686133
2016-03-03,25800,22600,24200,24100,23900,23900,-300,-0.0123966942,24200,23800,23985.47976377526,184570,4427000000,0,0,184570,4427000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,109.0,292770.0,90.0,368870.0,13436.66950648,13381.1460787675,13270.0992233419,,,13436.66950648,13214.5757956291,108200.0,184300.0,-76100.0,2685.9633027522937,4098.555555555556
2016-03-04,25500,22300,23900,23900,24000,24000,100,0.0041841004,24100,23800,23928.264340990052,162820,3896000000,0,0,162820,3896000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,85.0,328300.0,70.0,307440.0,13270.0992233419,13270.0992233419,13325.6226510546,,,13381.1460787674,13214.5757956291,165480.0,144620.0,20860.0,3862.3529411764707,4392.0
2016-03-07,25600,22400,24000,23900,23700,23700,-300,-0.0125,24000,23600,23771.971496437054,105250,2502000000,0,0,105250,2502000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370357,7,69370350,,58.0,222740.0,55.0,271060.0,13325.6226510545,13270.0992233419,13159.0523679165,,,13325.6226510545,13103.5289402036,117490.0,165810.0,-48320.0,3840.344827586207,4928.363636363636
2016-03-08,25300,22100,23700,23700,23600,23600,-100,-0.0042194093,23800,23300,23366.504267302444,104410,2452000000,185000,4310500000,289410,6762500000,-47000,-1097266000,0,0,1097266000,47000,4310500000,185000,4310500000,185000,4310500000,185000,5407766000,232000,69370356,7,69370349,,84.0,256820.0,49.0,206340.0,13159.0523679167,13159.0523679165,13103.5289402039,,,13214.5757956293,12936.9586570658,152410.0,101930.0,50480.0,3057.3809523809523,4211.0204081632655
2016-03-09,25200,22000,23600,23600,23600,23600,0,0.0,23600,23400,23546.8271982631,101330,2386000000,0,0,101330,2386000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,61.0,178660.0,42.0,172970.0,13103.5289402039,13103.5289402039,13103.5289402039,,,13103.5289402039,12992.4820847785,77330.0,71640.0,5690.0,2928.8524590163934,4118.333333333333
2016-03-10,25200,22000,23600,23600,23600,23600,0,0.0,23700,23400,23552.45440078345,81690,1924000000,0,0,81690,1924000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,68.0,154010.0,45.0,167660.0,13103.5289402039,13103.5289402039,13103.5289402039,,,13159.0523679167,12992.4820847785,72320.0,85970.0,-13650.0,2264.8529411764707,3725.777777777778
2016-03-11,25200,22000,23600,23800,23700,23700,100,0.0042372881,23800,23600,23687.406243303092,139990,3316000000,0,0,139990,3316000000,47000,1118600000,1118600000,47000,0,0,0,0,0,0,1118600000,47000,0,0,69370356,47007,69323349,,75.0,281950.0,65.0,246400.0,13103.5289402036,13214.5757956292,13159.0523679165,,,13214.5757956291,13103.5289402036,141960.0,106410.0,35550.0,3759.3333333333335,3790.769230769231
2016-03-14,25300,22100,23700,23600,23600,23600,-100,-0.0042194093,23700,23300,23490.852167106936,102210,2401000000,0,0,102210,2401000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,73.0,170090.0,59.0,206190.0,13159.0523679167,13103.5289402039,13103.5289402039,,,13159.0523679167,12936.9586570658,67880.0,103980.0,-36100.0,2330.0,3494.7457627118642
2016-03-15,25200,22000,23600,23500,23500,23500,-100,-0.0042372881,23500,23300,23416.356148264367,101980,2388000000,0,0,101980,2388000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,71.0,172050.0,56.0,200750.0,13103.5289402038,13048.005512491,13048.005512491,,,13048.0055124911,12936.9586570657,70070.0,98770.0,-28700.0,2423.239436619718,3584.8214285714284
2016-03-16,25100,21900,23500,23500,23200,23200,-300,-0.0127659574,23600,23200,23433.407856914724,120860,2821000000,67000,1581200000,187860,4402200000,-3000,-70500000,0,0,70500000,3000,1581200000,67000,1581200000,67000,1581200000,67000,1651700000,70000,69370356,7,69370349,,59.0,165460.0,60.0,231610.0,13048.005512491,13048.005512491,12881.4352293528,,,13103.5289402037,12881.4352293528,44600.0,110750.0,-66150.0,2804.406779661017,3860.1666666666665
2016-03-17,24800,21600,23200,23200,23500,23500,300,0.0129310345,23500,23200,23381.42804291528,108120,2528000000,0,0,108120,2528000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,67.0,219440.0,48.0,209690.0,12881.4352293529,12881.4352293528,13048.005512491,,,13048.0055124911,12881.4352293529,111320.0,101570.0,9750.0,3275.223880597015,4368.541666666667
2016-03-18,25100,21900,23500,23400,23300,23300,-200,-0.0085106383,23600,23300,23422.21909519454,142130,3329000000,0,0,142130,3329000000,-10940,-256060000,0,0,256060000,10940,0,0,0,0,0,0,256060000,10940,69370356,7,69370349,,80.0,245820.0,66.0,238550.0,13048.005512491,12992.4820847783,12936.9586570657,,,13103.5289402037,12936.9586570657,103690.0,96420.0,7270.0,3072.75,3614.3939393939395
2016-03-21,24900,21700,23300,23500,23400,23400,100,0.0042918455,23500,23300,23388.32571390711,150930,3530000000,0,0,150930,3530000000,-66290,-1548610000,70500000,3000,1619110000,69290,0,0,0,0,70500000,3000,1619110000,69290,69370356,3007,69367349,,72.0,250210.0,77.0,291980.0,12936.9586570656,13048.005512491,12992.4820847783,,,13048.0055124909,12936.9586570656,99280.0,141050.0,-41770.0,3475.1388888888887,3791.948051948052
2016-03-22,25000,21800,23400,23400,23600,23600,200,0.0085470085,23600,23300,23481.290713528255,330050,7750000000,0,0,330050,7750000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,99.0,462260.0,69.0,402440.0,12992.4820847785,12992.4820847783,13103.5289402039,,,13103.5289402039,12936.9586570658,132210.0,72390.0,59820.0,4669.292929292929,5832.463768115942
2016-03-23,24700,21600,23600,23500,23300,23300,172,0.0074368731,23500,23100,23285.651665692578,99890,2324000000,139650,3253845000,239540,5577845000,10440,245340000,257090000,10940,11750000,500,3253845000,139650,3253845000,139650,3510935000,150590,3265595000,140150,69370356,10947,69359409,,68.0,185790.0,60.0,192450.0,13370.9478981672,13314.2913392765,13200.9782214955,,,13314.2913392766,13087.6651037145,85900.0,92560.0,-6660.0,2732.205882352941,3207.5
2016-03-24,24900,21700,23300,23300,23100,23100,-200,-0.008583691,23500,23100,23344.57506263249,183120,4262000000,232000,5428800000,415120,9690800000,19670,470282000,1619369000,69260,1149087000,49590,5428800000,232000,5428800000,232000,7048169000,301260,6577887000,281590,69370356,69297,69301059,,53.0,241210.0,67.0,343530.0,13200.9782214954,13200.9782214955,13087.6651037144,,,13314.2913392765,13087.6651037144,58090.0,160410.0,-102320.0,4551.132075471698,5127.313432835821
2016-03-25,24700,21500,23100,23100,23100,23100,0,0.0,23300,23000,23118.335231390414,96590,2233000000,0,0,96590,2233000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,37,69370319,,42.0,167660.0,59.0,210280.0,13087.6651037144,13087.6651037144,13087.6651037144,,,13200.9782214954,13031.0085448238,71070.0,113690.0,-42620.0,3991.904761904762,3564.0677966101694
2016-03-28,24700,21500,23100,23100,23500,23500,400,0.0173160173,23500,23100,23302.909298345694,105180,2451000000,0,0,105180,2451000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,537,69369819,,62.0,200470.0,52.0,217230.0,13087.6651037144,13087.6651037144,13314.2913392765,,,13314.2913392765,13087.6651037144,95290.0,112050.0,-16760.0,3233.3870967741937,4177.5
2016-03-29,25100,21900,23500,23400,23300,23300,-200,-0.0085106383,23400,23200,23262.939052412738,91390,2126000000,0,0,91390,2126000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,50127,69320229,,41.0,138500.0,60.0,330200.0,13314.2913392766,13257.634780386,13200.9782214955,,,13257.6347803861,13144.321662605,47110.0,238810.0,-191700.0,3378.048780487805,5503.333333333333
2016-03-30,24900,21700,23300,23300,23200,23200,0,0.0,23500,23100,23345.30253496972,126590,2952000000,60000,1404000000,186590,4356000000,14800,355680000,1172820000,50000,817140000,35200,1404000000,60000,1404000000,60000,2576820000,110000,2221140000,95200,69370356,50127,69320229,,52.0,198510.0,64.0,285700.0,13200.9782214954,13200.9782214955,13144.3216626049,,,13314.2913392764,13087.6651037144,71920.0,159110.0,-87190.0,3817.5,4464.0625
2016-03-31,24800,21600,23200,23200,22700,22700,-500,-0.0215517241,23300,22700,22940.41530593382,162290,3723000000,0,0,162290,3723000000,-3980,-92336000,0,0,92336000,3980,0,0,0,0,0,0,92336000,3980,69370356,127,69370229,,73.0,214970.0,91.0,379010.0,13144.3216626048,13144.3216626049,12861.0388681522,,,13200.9782214953,12861.0388681522,52680.0,216720.0,-164040.0,2944.794520547945,4164.945054945055
2016-04-01,24200,21200,22700,22500,21900,21900,-800,-0.0352422907,22500,21900,22251.77304964539,169200,3765000000,0,0,169200,3765000000,20,447000,447000,20,0,0,0,0,0,0,447000,20,0,0,69370356,127,69370229,,115.0,245700.0,89.0,258350.0,12861.0388681523,12747.7257503712,12407.786397028,,,12747.7257503713,12407.786397028,76500.0,89150.0,-12650.0,2136.521739130435,2902.808988764045
2016-04-04,23400,20400,21900,21900,22100,22100,200,0.0091324201,22200,21700,21989.934185056136,180810,3976000000,0,0,180810,3976000000,30000,660000000,660000000,30000,0,0,0,0,0,0,660000000,30000,0,0,69370356,35307,69335049,,192.0,301930.0,110.0,271990.0,12407.7863970279,12407.786397028,12521.0995148091,,,12577.7560736996,12294.4732792469,121120.0,91180.0,29940.0,1572.5520833333333,2472.6363636363635
2016-04-05,23600,20600,22100,21900,22300,22300,200,0.0090497738,22300,21800,22076.890165637797,163610,3612000000,0,0,163610,3612000000,9280,202804000,202804000,9280,0,0,0,0,0,0,202804000,9280,0,0,69370356,9287,69361069,,183.0,291060.0,74.0,223370.0,12521.0995148091,12407.786397028,12634.4126325902,,,12634.4126325902,12351.1298381374,127450.0,59760.0,67690.0,1590.4918032786886,3018.5135135135133
2016-04-06,23800,20800,22300,22000,22300,22300,0,0.0,22500,22000,22240.04463351698,143390,3189000000,0,0,143390,3189000000,-3100,-69130000,0,0,69130000,3100,0,0,0,0,0,0,69130000,3100,69370356,7,69370349,,121.0,268040.0,77.0,203920.0,12634.4126325902,12464.4429559184,12634.4126325902,,,12747.7257503713,12464.4429559185,124650.0,60530.0,64120.0,2215.206611570248,2648.311688311688
2016-04-07,23800,20800,22300,22300,21900,21900,-400,-0.0179372197,22400,21900,22137.529264441662,183670,4066000000,0,0,183670,4066000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,113.0,248440.0,85.0,290050.0,12634.4126325902,12634.4126325902,12407.786397028,,,12691.0691914807,12407.786397028,64770.0,106380.0,-41610.0,2198.5840707964603,3412.3529411764707
2016-04-08,23400,20400,21900,22000,22300,22300,400,0.0182648402,22300,21800,22009.39645825804,249030,5481000000,0,0,249030,5481000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69370356,7,69370349,,144.0,454920.0,89.0,330340.0,12407.786397028,12464.4429559184,12634.4126325902,,,12634.4126325902,12351.1298381374,205890.0,81310.0,124580.0,3159.1666666666665,3711.6853932584268
2016-04-11,23800,20800,22300,22300,22800,22800,500,0.0224215247,23100,22200,22770.508641093198,223930,5099000000,0,0,223930,5099000000,3100,69130000,69130000,3100,0,0,0,0,0,0,69130000,3100,0,0,69370356,3107,69367249,,170.0,402590.0,133.0,354530.0,12634.4126325901,12634.4126325902,12917.6954270427,,,13087.6651037144,12577.7560736995,178660.0,130600.0,48060.0,2368.176470588235,2665.6390977443607
